STREET_NAME_PATTERN,,Abraham-a-Sancta-Clara-Gasse
STREET_NAME_PATTERN,,Adlergasse
STREET_NAME_PATTERN,,Akademiestraße
STREET_NAME_PATTERN,,Albertinaplatz
STREET_NAME_PATTERN,,Albrechtsgasse
STREET_NAME_PATTERN,,Albrechtsplatz
STREET_NAME_PATTERN,,Alta Strata
STREET_NAME_PATTERN,,Alte Walfischgasse
STREET_NAME_PATTERN,,Am Bergl
STREET_NAME_PATTERN,,Am Gestade
STREET_NAME_PATTERN,,Am Hof
STREET_NAME_PATTERN,,Am Sanct Jakobsfreithof
STREET_NAME_PATTERN,,Amaliengasse
STREET_NAME_PATTERN,,An Sanct Clarafreithof
STREET_NAME_PATTERN,,An dem Milchgraben
STREET_NAME_PATTERN,,An der Hülben
STREET_NAME_PATTERN,,Annagasse
STREET_NAME_PATTERN,,Armensündergassel
STREET_NAME_PATTERN,,Aspernplatz
STREET_NAME_PATTERN,,Auerspergstraße
STREET_NAME_PATTERN,,Auf der Dacken
STREET_NAME_PATTERN,,Auf der Goldschmiede
STREET_NAME_PATTERN,,Auf der Hohen Brücke
STREET_NAME_PATTERN,,Augustinerbastei
STREET_NAME_PATTERN,,Augustinerstraße
STREET_NAME_PATTERN,,Auwinkel
STREET_NAME_PATTERN,,Babenbergerstraße
STREET_NAME_PATTERN,,Ballgasse
STREET_NAME_PATTERN,,Ballhausplatz
STREET_NAME_PATTERN,,Ballplatz
STREET_NAME_PATTERN,,Bankgasse
STREET_NAME_PATTERN,,Barbaragasse
STREET_NAME_PATTERN,,Barrikadenstraße
STREET_NAME_PATTERN,,Bartensteingasse
STREET_NAME_PATTERN,,Bauernmarkt
STREET_NAME_PATTERN,,Beethovenplatz
STREET_NAME_PATTERN,,Bei der Hohen Brücke
STREET_NAME_PATTERN,,Bellariastraße
STREET_NAME_PATTERN,,Beserlpark
STREET_NAME_PATTERN,,Biberstraße
STREET_NAME_PATTERN,,Bibliotheksplatz
STREET_NAME_PATTERN,,Bilpingerstraße
STREET_NAME_PATTERN,,Bischofgasse
STREET_NAME_PATTERN,,Blumenstockgasse
STREET_NAME_PATTERN,,Blutgasse
STREET_NAME_PATTERN,,Bockgasse
STREET_NAME_PATTERN,,Bognergasse
STREET_NAME_PATTERN,,Brandstatt
STREET_NAME_PATTERN,,Brandstätte
STREET_NAME_PATTERN,,Brunnengasse
STREET_NAME_PATTERN,,Brunngasse
STREET_NAME_PATTERN,,Bruno-Kreisky-Gasse
STREET_NAME_PATTERN,,Bräunerstraße
STREET_NAME_PATTERN,,Buchfellergraben
STREET_NAME_PATTERN,,Burggarten
STREET_NAME_PATTERN,,Bäckerstraße
STREET_NAME_PATTERN,,Börsegasse
STREET_NAME_PATTERN,,Börsepark
STREET_NAME_PATTERN,,Börseplatz
STREET_NAME_PATTERN,,Bösendorferstraße
STREET_NAME_PATTERN,,Bürgermeistergasse
STREET_NAME_PATTERN,,Bürstenbindergasse
STREET_NAME_PATTERN,,Camesinagasse
STREET_NAME_PATTERN,,Canovagasse
STREET_NAME_PATTERN,,Christinengasse
STREET_NAME_PATTERN,,Churhausgasse
STREET_NAME_PATTERN,,Cobdengasse
STREET_NAME_PATTERN,,Coburgbastei
STREET_NAME_PATTERN,,Concordiaplatz
STREET_NAME_PATTERN,,Constitutionsplatz
STREET_NAME_PATTERN,,Cäciliengasse
STREET_NAME_PATTERN,,Desider-Friedmann-Platz
STREET_NAME_PATTERN,,Deutschmeisterplatz
STREET_NAME_PATTERN,,Doblhoffgasse
STREET_NAME_PATTERN,,Domgasse
STREET_NAME_PATTERN,,Dominikanergasse
STREET_NAME_PATTERN,,Dominikanerplatz
STREET_NAME_PATTERN,,Donnergasse
STREET_NAME_PATTERN,,Dorotheergasse
STREET_NAME_PATTERN,,Dr.-Ignaz-Seipel-Platz
STREET_NAME_PATTERN,,Dr.-Ignaz-Seipel-Ring
STREET_NAME_PATTERN,,Dr.-Karl-Lueger-Platz
STREET_NAME_PATTERN,,Dr.-Karl-Lueger-Ring
STREET_NAME_PATTERN,,Dr.-Karl-Renner-Ring
STREET_NAME_PATTERN,,Drachengasse
STREET_NAME_PATTERN,,Drahtgasse
STREET_NAME_PATTERN,,Dumbastraße
STREET_NAME_PATTERN,,Ebendorferstraße
STREET_NAME_PATTERN,,Einheitsplatz
STREET_NAME_PATTERN,,Elf-Lümmel-Gasse
STREET_NAME_PATTERN,,Elisabethstraße
STREET_NAME_PATTERN,,Ertlgasse
STREET_NAME_PATTERN,,Eschenbachgasse
STREET_NAME_PATTERN,,Esperantopark
STREET_NAME_PATTERN,,Essiggasse
STREET_NAME_PATTERN,,Evagassel
STREET_NAME_PATTERN,,Eßlinggasse
STREET_NAME_PATTERN,,Fahnengasse
STREET_NAME_PATTERN,,Falkestraße
STREET_NAME_PATTERN,,Felderstraße
STREET_NAME_PATTERN,,Ferdinandsplatz
STREET_NAME_PATTERN,,Fichtegasse
STREET_NAME_PATTERN,,Filzerstraße
STREET_NAME_PATTERN,,Filzgasse
STREET_NAME_PATTERN,,Fischhof
STREET_NAME_PATTERN,,Flaschnergasse
STREET_NAME_PATTERN,,Fleischmarkt
STREET_NAME_PATTERN,,Fleischmarktstiege
STREET_NAME_PATTERN,,Franz-Josefs-Kai
STREET_NAME_PATTERN,,Franzensplatz
STREET_NAME_PATTERN,,Franzensring
STREET_NAME_PATTERN,,Franziskanerplatz
STREET_NAME_PATTERN,,Freda-Meissner-Blau-Promenade
STREET_NAME_PATTERN,,Freiheitsgasse
